Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.14     85.38     0.15 45954740     0.00     0.00  camlCode_util__code_begin
  0.14     85.52     0.15                             compare_stack_overflow
  0.14     85.66     0.14 21976429     0.00     0.00  camlEvaluation_expr__fun_515
  0.14     85.80     0.14 12339096     0.00     0.00  camlPhysical_value_util__physical_value_of_tuple_146
  0.13     85.94     0.14 14563927     0.00     0.00  caml_ml_input_char
  0.13     86.07     0.13 23386942     0.00     0.00  camlCs_util_coercion__coerce_unary_336
  0.13     86.20     0.13  2682426     0.00     0.00  camlCode_fn___fs_untyped_to_any_3920
  0.13     86.33     0.13  2473840     0.00     0.00  camlList__chop_267
  0.12     86.45     0.13       57     0.00     0.00  caml_alloc_final
  0.12     86.57     0.12 23584094     0.00     0.00  caml_string_equal
  0.12     86.69     0.12 17879371     0.00     0.00  camlCs_util_coercion__coerce_unit_to_xml_442
  0.12     86.81     0.12  6951405     0.00     0.00  camlArgs__get_array_param1_137
  0.12     86.93     0.12  6804322     0.00     0.00  camlCode_binding__fun_511
  0.12     87.05     0.12  5843644     0.00     0.00  caml_alloc
  0.12     87.17     0.12  4121904     0.00     0.00  camlCode_treejoin__eval_axis_single_item_574
  0.12     87.29     0.12  1399479     0.00     0.00  camlString__code_begin
  0.12     87.41     0.12    41578     0.00     0.00  camlFinfo__loc_in_file_270
  0.12     87.53     0.12                             camlCs_util_coercion__coerce_onedep_prolog_436
  0.12     87.65     0.12  9552652     0.00     0.00  camlCode_functional_ops__fun_576
  0.12     87.77     0.12  6890200     0.00     0.00  camlCode_selection_context__get_tuple_reference_544
  0.11     87.89     0.12  9700217     0.00     0.00  caml_curry5_1
  0.11     88.00     0.12  8180071     0.00     0.00  caml_curry6_3
  0.11     88.12     0.12 20577046     0.00     0.00  camlCursor__cursor_of_singleton_190
  0.11     88.23     0.12                             camlCursor__append_fun_239
  0.11     88.34     0.11 17920724     0.00     0.00  camlCs_util_coercion__coerce_many_361
  0.11     88.45     0.11  9699912     0.00     0.00  caml_curry5_3
  0.11     88.56     0.11  6826003     0.00     0.00  camlVariable_context_manager__code_begin
  0.11     88.67     0.11  5556448     0.00     0.00  camlPhysical_value_util__concat_xml_value_cursor_216
  0.11     88.78     0.11  4119002     0.00     0.00  camlCode_item_tuple__build_default_item_to_tuple_map_code_565
  0.11     88.89     0.11  1359079     0.00     0.00  camlNamespace_util__hash_182
  0.11     89.00     0.11  1351651     0.00     0.00  camlCode_fn__fun_5726
  0.11     89.11     0.11  1290486     0.00     0.00  camlList__rev_merge_275
  0.11     89.22     0.11                             camlCode_binding__conv_463
  0.11     89.33     0.11                             caml_ml_array_bound_error
  0.10     89.44     0.11 12305120     0.00     0.00  camlPhysical_item__getNode_167
  0.10     89.54     0.11  8176286     0.00     0.00  caml_curry6_2
  0.10     89.64     0.10  8330279     0.00     0.00  camlGalax_dm__ntf_621
  0.10     89.74     0.10  6890158     0.00     0.00  camlCode_tuple__fun_601
  0.10     89.84     0.10  6890158     0.00     0.00  camlCs_util_coercion__coerce_many_xml_to_tuple_524
  0.10     89.94     0.10  4161472     0.00     0.00  camlCode_fn___fs_distinct_docorder_aux_3850
  0.10     90.04     0.10  4121904     0.00     0.00  camlCode_util_xpath__eval_axis_node_test_560
  0.10     90.14     0.10                             camlCode_fn___fs_distinct_or_atomic_sequence_3843
  0.09     90.24     0.10 48657960     0.00     0.00  camlDm_atomic__method_getAtomicValueKind_2739
  0.09     90.33     0.10 23435819     0.00     0.00  camlPhysical_value_util__physical_value_of_xml_value_134
  0.09     90.43     0.10  4230082     0.00     0.00  camlGalax_dm__method_children_1120
  0.09     90.52     0.10  1351610     0.00     0.00  camlCode_util__fun_703
  0.09     90.62     0.10        3     0.03     0.03  camlGmisc__sort_and_remove_duplicates_revcompare_164
  0.09     90.71     0.09 10781038     0.00     0.00  camlCode_fn__remove_sorted_node_dup_fun_3278
  0.09     90.80     0.09  6890158     0.00     0.00  camlTuple_context_manager__code_begin
  0.09     90.89     0.09  5580136     0.00     0.00  camlCode_item_tuple__eval_for_604
  0.09     90.98     0.09  1716089     0.00     0.00  camlHashtbl__find_231
  0.09     91.07     0.09  1351610     0.00     0.00  camlCode_fn___fn_compare_op_594
  0.09     91.16     0.09  1330816     0.00     0.00  camlGalax_dm__method_typed_value_1099
  0.09     91.25     0.09  1183354     0.00     0.00  camlList__rev_merge_rev_285
  0.09     91.34     0.09   861875     0.00     0.00  caml_send0
  0.09     91.43     0.09      808     0.00     0.00  camlArray__iter_127
